,Country,Link,Overall,Attack,Midrange,Defense
0,Argentina,https://www.fifaratings.com/team/argentina-national-football-team,84,86,84,82
1,Australia,https://www.fifaratings.com/team/australia-national-football-team,72,72,72,71
2,Belgium,https://www.fifaratings.com/team/belgium-national-football-team,81,84,81,79
3,Brazil,https://www.fifaratings.com/team/brazil-national-football-team,84,85,85,83
4,Cameroon,https://www.fifaratings.com/team/cameroon-national-football-team,74,75,75,72
5,Canada,https://www.fifaratings.com/team/canada-national-football-team,75,75,78,72
6,Costa Rica,https://www.fifaratings.com/team/costa-rica-national-football-team,73,73,73,74
7,Croatia,https://www.fifaratings.com/team/croatia-national-football-team,80,80,83,78
8,Denmark,https://www.fifaratings.com/team/denmark-national-football-team,80,77,83,80
9,Ecuador,https://www.fifaratings.com/team/ecuador-national-football-team,75,75,75,75
10,England,https://www.fifaratings.com/team/england-national-football-team,84,86,83,83
11,France,https://www.fifaratings.com/team/france-national-football-team,83,86,82,82
12,Germany,https://www.fifaratings.com/team/germany-national-football-team,84,84,85,82
13,Ghana,https://www.fifaratings.com/team/ghana-national-football-team,77,81,76,75
14,Iran,https://www.fifaratings.com/team/iran-national-football-team,75,81,73,72
15,Japan,https://www.fifaratings.com/team/japan-national-football-team,76,75,77,76
16,Korea Republic,https://www.fifaratings.com/team/korea-republic-national-football-team,76,79,74,75
17,Mexico,https://www.fifaratings.com/team/mexico-national-football-team,78,79,77,77
18,Morocco,https://www.fifaratings.com/team/morocco-national-football-team,77,79,73,78
19,Netherlands,https://www.fifaratings.com/team/netherlands-national-football-team,82,82,82,83
20,Poland,https://www.fifaratings.com/team/poland-national-football-team,77,81,75,75
21,Portugal,https://www.fifaratings.com/team/portugal-national-football-team,83,83,83,84
22,Qatar,https://www.fifaratings.com/team/qatar-national-football-team,72,73,71,71
23,Saudi Arabia,https://www.fifaratings.com/team/saudi-arabia-national-football-team,71,71,72,71
24,Senegal,https://www.fifaratings.com/team/senegal-national-football-team,77,79,76,77
25,Serbia,https://www.fifaratings.com/team/serbia-national-football-team,78,80,80,75
26,Spain,https://www.fifaratings.com/team/spain-national-football-team,84,83,85,83
27,Switzerland,https://www.fifaratings.com/team/switzerland-national-football-team,78,77,78,78
28,Tunisia,https://www.fifaratings.com/team/tunisia-national-football-team,73,72,75,71
29,United States,https://www.fifaratings.com/team/united-states-national-football-team,77,77,78,76
30,Uruguay,https://www.fifaratings.com/team/uruguay-national-football-team,81,81,82,79
31,Wales,https://www.fifaratings.com/team/wales-national-football-team,77,78,76,77
